word,class,categ,freq,length
autopsia,N,BO,3.31,8.00
autografo,N,BO,3.08,9.00
antipatia,N,BO,3.07,9.00
antidoto,N,BO,3.30,8.00
coagulo,N,BO,2.52,7.00
coetaneo,N,BO,2.98,8.00
coalizione,N,BO,4.37,10.00
convenevole,N,BO,2.20,11.00
controversia,N,BO,3.96,12.00
discrepanza,N,BO,2.95,11.00
dislessia,N,BO,2.79,9.00
disinvoltura,N,BO,3.41,12.00
disturbo,N,BO,4.02,8.00
dispersione,N,BO,3.93,11.00
depistaggio,N,BO,2.77,11.00
derisione,N,BO,2.69,9.00
espatrio,N,BO,3.09,8.00
emisfero,N,BO,3.41,8.00
inclusione,N,BO,3.97,10.00
inimicizia,N,BO,2.93,10.00
incredulit?,N,BO,3.21,11.00
immersione,N,BO,3.47,10.00
intervallo,N,BO,3.94,10.00
interrogato,N,BO,3.64,11.00
interferenza,N,BO,3.50,12.00
intermediario,N,BO,3.55,13.00
metafora,N,BO,3.95,8.00
metabolismo,N,BO,3.56,11.00
metamorfico,N,BO,1.88,11.00
neologismo,N,BO,2.80,10.00
paradigma,N,BO,3.77,9.00
paraplegia,N,BO,1.85,10.00
prognosi,N,BO,3.51,8.00
propulsore,N,BO,3.28,10.00
propaganda,N,BO,4.14,10.00
progresso,N,BO,4.35,9.00
reclusione,N,BO,4.00,10.00
restrizione,N,BO,3.54,11.00
restauro,N,BO,4.26,8.00
revisore,N,BO,3.23,8.00
retribuzione,N,BO,4.47,12.00
ripicca,N,BO,2.63,7.00
ritornello,N,BO,3.37,10.00
rimpatrio,N,BO,3.69,9.00
rinforzo,N,BO,3.33,8.00
ricorrenza,N,BO,3.64,10.00
rientranza,N,BO,2.11,10.00
riciclaggio,N,BO,3.83,11.00
subsidenza,N,BO,2.38,10.00
sbarco,N,BO,3.63,6.00
sottolineatura,N,BO,3.18,14.00
trasferta,N,BO,3.93,9.00
trasduzione,N,BO,2.48,11.00
interrogativo,N,BO,3.75,13.00
pronuncia,N,BO,4.23,9.00
rinuncia,N,BO,4.24,8.00
resurrezione,N,BO,3.48,12.00
autorit?,N,NPP,4.05,8.00
autonomia,N,NPP,4.87,9.00
antichit?,N,NPP,3.83,9.00
antiquario,N,NPP,2.81,10.00
antilope,N,NPP,2.38,8.00
costola,N,NPP,3.00,7.00
comitiva,N,NPP,3.07,8.00
colonello,N,NPP,3.82,9.00
convulsione,N,NPP,2.10,11.00
controllante,N,NPP,3.11,12.00
dissenteria,N,NPP,2.67,11.00
disertore,N,NPP,2.52,9.00
distrettuale,N,NPP,3.49,12.00
disastro,N,NPP,4.04,8.00
distruzione,N,NPP,4.37,11.00
dentifricio,N,NPP,2.80,11.00
destriero,N,NPP,2.65,9.00
esiliato,N,NPP,2.90,8.00
eminenza,N,NPP,2.58,8.00
intelletto,N,NPP,3.71,10.00
intrusione,N,NPP,3.21,10.00
integratore,N,NPP,2.97,11.00
immondizia,N,NPP,3.21,10.00
interezza,N,NPP,3.43,9.00
interprete,N,NPP,4.03,10.00
interruttore,N,NPP,3.26,12.00
metanolo,N,NPP,2.66,8.00
metallurgia,N,NPP,2.64,11.00
metallifero,N,NPP,1.51,11.00
parassita,N,NPP,3.13,9.00
parabolico,N,NPP,2.23,10.00
prodigio,N,NPP,3.22,8.00
profumeria,N,NPP,2.69,10.00
professore,N,NPP,4.52,10.00
regolatore,N,NPP,3.86,10.00
relativismo,N,NPP,3.45,11.00
realismo,N,NPP,3.91,8.00
reliquia,N,NPP,2.94,8.00
retorica,N,NPP,4.01,8.00
registratore,N,NPP,3.27,12.00
ripudio,N,NPP,3.09,7.00
ricevitore,N,NPP,3.24,10.00
ricchezza,N,NPP,4.46,9.00
rimorchio,N,NPP,3.20,9.00
ribellione,N,NPP,3.70,10.00
rinoceronte,N,NPP,2.54,11.00
ripostiglio,N,NPP,2.81,11.00
sublimante,N,NPP,1.38,10.00
stereo,N,NPP,3.61,6.00
trastullo,N,NPP,2.19,9.00
trascinante,N,NPP,3.00,11.00
antisemita,N,FT,3.15,10.00
autocura,N,FT,1.74,8.00
autostima,N,FT,3.44,9.00
antimafia,N,FT,3.74,9.00
antivirus,N,FT,3.54,9.00
antifumo,N,FT,2.79,8.00
coerede,N,FT,1.99,7.00
coautore,N,FT,2.99,8.00
confratello,N,FT,2.56,11.00
controfigura,N,FT,2.56,12.00
disfunzione,N,FT,3.16,11.00
disvalore,N,FT,2.67,9.00
disinteresse,N,FT,3.54,12.00
disabile,N,FT,3.94,8.00
disoccupato,N,FT,3.38,11.00
deposizione,N,FT,3.50,11.00
emiciclo,N,FT,2.59,8.00
incertezza,N,FT,4.16,10.00
indistinto,N,FT,2.99,10.00
indecisione,N,FT,2.97,11.00
imprudenza,N,FT,2.91,10.00
intermezzo,N,FT,2.97,10.00
interfaccia,N,FT,4.18,11.00
interscambio,N,FT,3.61,12.00
interattivit?,N,FT,3.40,13.00
metafase,N,FT,1.38,8.00
metacritica,N,FT,0.85,11.00
metastorico,N,FT,1.84,11.00
neonazista,N,FT,2.36,10.00
parametro,N,FT,4.08,9.00
promemoria,N,FT,2.99,10.00
promotore,N,FT,3.93,9.00
reazione,N,FT,4.42,8.00
reflusso,N,FT,2.67,8.00
respinta,N,FT,3.68,8.00
rimando,N,FT,3.50,7.00
riutilizzo,N,FT,3.48,10.00
rivincita,N,FT,3.51,9.00
rincorsa,N,FT,3.33,8.00
riconferma,N,FT,3.45,10.00
rifioritura,N,FT,1.65,11.00
riconquista,N,FT,3.29,11.00
subaffitto,N,FT,1.96,10.00
svista,N,FT,2.99,6.00
sottoufficiale,N,FT,1.46,14.00
trasfusione,N,FT,2.81,11.00
autocubo,N,NNW,3.55,8.00
autococco,N,NNW,3.34,9.00
antimento,N,NNW,3.59,9.00
antilepre,N,NNW,3.24,9.00
antifoca,N,NNW,2.91,8.00
cogrumo,N,NNW,2.71,7.00
columaca,N,NNW,2.91,8.00
cofilosofo,N,NNW,4.09,10.00
congraffito,N,NNW,2.50,11.00
controsenape,N,NNW,2.93,12.00
disbriciola,N,NNW,2.82,11.00
disrisaia,N,NNW,2.32,9.00
discorteccia,N,NNW,3.41,12.00
disaglio,N,NNW,3.87,8.00
discreatura,N,NNW,4.03,11.00
defragranza,N,NNW,3.01,11.00
delibraio,N,NNW,2.82,9.00
esgemito,N,NNW,2.87,8.00
emipizzo,N,NNW,3.19,8.00
inbattesimo,N,NNW,3.85,11.00
inpapavero,N,NNW,2.85,10.00
incespuglio,N,NNW,3.04,11.00
imdentista,N,NNW,3.28,10.00
intermela,N,NNW,3.60,9.00
intergatto,N,NNW,4.07,10.00
intermutande,N,NNW,3.42,12.00
interumorismo,N,NNW,3.64,13.00
metacubo,N,NNW,3.55,8.00
metaguancia,N,NNW,3.34,11.00
metagengiva,N,NNW,2.27,11.00
neoascella,N,NNW,2.68,10.00
paracorda,N,NNW,3.79,9.00
paracimice,N,NNW,2.12,10.00
progrillo,N,NNW,3.46,9.00
probambola,N,NNW,3.28,10.00
procircolo,N,NNW,4.22,10.00
prostella,N,NNW,4.24,9.00
resoffitto,N,NNW,3.69,10.00
